movieId,title,genres,Poster URL
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,https://image.tmdb.org/t/p/original/uXDfjJbdP4ijW5hWSBrPrlKpxab.jpg
2,Jumanji (1995),Adventure|Children|Fantasy,https://image.tmdb.org/t/p/original/vgpXmVaVyUL7GGiDeiK1mKEKzcX.jpg
3,Grumpier Old Men (1995),Comedy|Romance,https://image.tmdb.org/t/p/original/1FSXpj5e8l4KH6nVFO5SPUeraOt.jpg
4,Waiting to Exhale (1995),Comedy|Drama|Romance,https://image.tmdb.org/t/p/original/qJU6rfil5xLVb5HpJsmmfeSK254.jpg
5,Father of the Bride Part II (1995),Comedy,https://image.tmdb.org/t/p/original/rj4LBtwQ0uGrpBnCELr716Qo3mw.jpg
6,Heat (1995),Action|Crime|Thriller,https://image.tmdb.org/t/p/original/umSVjVdbVwtx5ryCA2QXL44Durm.jpg
7,Sabrina (1995),Comedy|Romance,https://image.tmdb.org/t/p/original/z1oNjotUI7D06J4LWQFQzdIuPnf.jpg
8,Tom and Huck (1995),Adventure|Children,https://image.tmdb.org/t/p/original/vIG8hWOa7DyLMRiurzKwVAnIYoU.jpg
9,Sudden Death (1995),Action,https://image.tmdb.org/t/p/original/1pylO6YX5XdOA6QCc5IRxrrffkg.jpg
10,GoldenEye (1995),Action|Adventure|Thriller,https://image.tmdb.org/t/p/original/z0ljRnNxIO7CRBhLEO0DvLgAFPR.jpg
11,"American President, The (1995)",Comedy|Drama|Romance,https://image.tmdb.org/t/p/original/yObOAYFIHXHkFPQ3jhgkN2ezaD.jpg
12,Dracula: Dead and Loving It (1995),Comedy|Horror,https://image.tmdb.org/t/p/original/4rRfZz8YnHNRr16t3CFcJrPdXHi.jpg
13,Balto (1995),Adventure|Animation|Children,https://image.tmdb.org/t/p/original/dCVcdb5oxDizqFLz0F7TE60NoC9.jpg
14,Nixon (1995),Drama,https://image.tmdb.org/t/p/original/cz2MTGr2wpDZLirgV2rGHBdA2t3.jpg
15,Cutthroat Island (1995),Action|Adventure|Romance,https://image.tmdb.org/t/p/original/cDYa1i5UzXWztO5ZUp4azv7ycPs.jpg
16,Casino (1995),Crime|Drama,https://image.tmdb.org/t/p/original/4TS5O1IP42bY2BvgMxL156EENy.jpg
17,Sense and Sensibility (1995),Drama|Romance,https://image.tmdb.org/t/p/original/cBK2yL3HqhFvIVd7lLtazWlRZPR.jpg
18,Four Rooms (1995),Comedy,https://image.tmdb.org/t/p/original/75aHn1NOYXh4M7L5shoeQ6NGykP.jpg
19,Ace Ventura: When Nature Calls (1995),Comedy,https://image.tmdb.org/t/p/original/wcinCf1ov2D6M3P7BBZkzQFOiIb.jpg
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,https://image.tmdb.org/t/p/original/jWBDz6Mf9aQVBiUS76JQsEhvoJl.jpg
21,Get Shorty (1995),Comedy|Crime|Thriller,https://image.tmdb.org/t/p/original/r82SdPhg4fnIcLt0ogIjQxqjdcO.jpg
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,https://image.tmdb.org/t/p/original/oMgwJb016znNZcpDR20eXxZoW8A.jpg
23,Assassins (1995),Action|Crime|Thriller,https://image.tmdb.org/t/p/original/kgqS4jn60E8UIExfceMUExB3ZKK.jpg
24,Powder (1995),Drama|Sci-Fi,https://image.tmdb.org/t/p/original/kImKATjY4EsK5MDgrmpJdGbQEbq.jpg
25,Leaving Las Vegas (1995),Drama|Romance,https://image.tmdb.org/t/p/original/wIfP6uLXD9Ptu68SyRx8WuSNNSK.jpg
26,Othello (1995),Drama,https://image.tmdb.org/t/p/original/kyevuYzW36wKadiE8lftLac5VwQ.jpg
27,Now and Then (1995),Children|Drama,https://image.tmdb.org/t/p/original/q31Ks8oAmM4Nq2CcGjyYYpdBAmh.jpg
28,Persuasion (1995),Drama|Romance,https://image.tmdb.org/t/p/original/p0SAkCFD02wj2gekOvFilMjzs3j.jpg
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,https://image.tmdb.org/t/p/original/whwT3Q9JxbAYzEc3t7uYYcCbTMf.jpg
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,https://image.tmdb.org/t/p/original/tzG1UxUSfPACREjgBrsPDRUvneH.jpg
31,Dangerous Minds (1995),Drama,https://image.tmdb.org/t/p/original/yWHWC8fJRp2kLgiFrEa8o3krOH9.jpg
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,https://image.tmdb.org/t/p/original/gt3iyguaCIw8DpQZI1LIN5TohM2.jpg
34,Babe (1995),Children|Drama,https://image.tmdb.org/t/p/original/zKuQMtnbVTz9DsOnOJmlW71v4qH.jpg
36,Dead Man Walking (1995),Crime|Drama,https://image.tmdb.org/t/p/original/eShxyjhWoFl3BwsuEmVsr4nLaMZ.jpg
38,It Takes Two (1995),Children|Comedy,https://image.tmdb.org/t/p/original/4CptjFLiIJXtjc3dykS7vkEHMbw.jpg
39,Clueless (1995),Comedy|Romance,https://image.tmdb.org/t/p/original/8AwVTcgpTnmeOs4TdTWqcFDXEsA.jpg
40,"Cry, the Beloved Country (1995)",Drama,https://image.tmdb.org/t/p/original/kGPsBswFOCjiGzXq4OZwzEAAODa.jpg
41,Richard III (1995),Drama|War,https://image.tmdb.org/t/p/original/aN2BcIH6rvGbYiRQCS8lxOdeeVQ.jpg
42,Dead Presidents (1995),Action|Crime|Drama,https://image.tmdb.org/t/p/original/wRLepMZoUCwjLFb1WSbuUT6uVWR.jpg
43,Restoration (1995),Drama,https://image.tmdb.org/t/p/original/d7udB1dbJ2zAewg4FjFFnPq8iow.jpg
44,Mortal Kombat (1995),Action|Adventure|Fantasy,https://image.tmdb.org/t/p/original/aVotlc03uy62YJUFGxlQUF7FZXV.jpg
45,To Die For (1995),Comedy|Drama|Thriller,https://image.tmdb.org/t/p/original/bEY2XKUlCY03KA7XT59W2OPCGZm.jpg
46,How to Make an American Quilt (1995),Drama|Romance,https://image.tmdb.org/t/p/original/vwYRaERccwXWCYrTzeWRZRarJOo.jpg
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,https://image.tmdb.org/t/p/original/h7904tdTu4O6EVX4UyesxtqF0xR.jpg
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,https://image.tmdb.org/t/p/original/kZ1ft0QZ4e3zDUPMBftEkwI9ftd.jpg
49,When Night Is Falling (1995),Drama|Romance,https://image.tmdb.org/t/p/original/6Ac5GLwJ01uli5mCXqXwquR36Y1.jpg
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,https://image.tmdb.org/t/p/original/rWbsxdwF9qQzpTPCLmDfVnVqTK1.jpg
